ABalaaaalal,AINL
ABalaaaalar,death
ABalaaaalpa,death
ABalaaaalpp,ILshL
ABalaaaarla,death
ABalaaaarlp,RMEL
ABalaaaarra,death
ABalaaaarrp,RMER
ABalaaapall,ILsoL
ABalaaapalr,AVDL
ABalaaaparl,death
ABalaaaparr,ILshDL
ABalaaappll,ILshDR
ABalaaapplr,death
ABalaaapprl,AVDR
ABalaaapprr,ILsoR
ABalaapaaal,death
ABalaapaaar,AINR
ABalaapaapa,death
ABalaapaapp,ILshR
ABalaapapa,death
ABalaapappa,death
ABalaapappp,CEPsoVR
ABalaappaa,death
ABalaappapa,AVAR
ABalaappapp,OLQsoVR
ABalaapppaa,RIAR
ABalaapppap,death
ABalaappppaa,IL1R
ABalaappppap,death
ABalaappppp,IL2R
ABalapaaaaa,AVHL
ABalapaaaap,death
ABalapaaapa,CANL
ABalapaaapp,OLLsoL
ABalapaapaa,RIAL
ABalapaapap,death
ABalapaappaa,IL1L
ABalapaappap,death
ABalapaappp,IL2L
ABalapapaa,death
ABalapapapaa,OLQDL
ABalapapapap,death
ABalapapapp,URYDL
ABalapappaaa,IL1DL
ABalapappaap,death
ABalapappap,IL2DL
ABalapapppa,AVJL
ABalapapppp,CEPsoDL
ABalappaaa,death
ABalappaapa,RID
ABalappaapp,death
ABalappapaa,AVHR
ABalappapap,death
ABalappappa,CANR
ABalappappp,OLLsoR
ABalapppaaa,ALA
ABalapppaap,RMED
ABalapppapaa,OLQDR
ABalapppapap,death
ABalapppapp,URYDR
ABalappppaaa,IL1DR
ABalappppaap,death
ABalappppap,IL2DR
ABalapppppa,AVJR
ABalapppppp,CEPsoDR
ABalpaaaaaa,e3VL
ABalpaaaaap,m2VL
ABalpaaaapa,m1VL
ABalpaaaapp,death
ABalpaaapaa,m2L
ABalpaaapap,death
ABalpaaappa,death
ABalpaaappp,MCL
ABalpaapaaa,arcpost
ABalpaapaap,e2DL
ABalpaapapa,mc1DL
ABalpaapapp,m3L
ABalpaappaa,arc_ant
ABalpaappap,arcpost
ABalpaapppa,hyp1
ABalpaapppp,hyp2
ABalpapaaaa,RIPL
ABalpapaaap,hyp2
ABalpapaapa,arc_ant
ABalpapaapp,death
ABalpapapaa,RMDDL
ABalpapapapa,death
ABalpapapapp,SMBDL
ABalpapappa,death
ABalpapappp,SMBVL
ABalpappaaa,death
ABalpappaapa,I2L
ABalpappaapp,death
ABalpappapa,e2V
ABalpappapp,mc3V
ABalpapppaa,I1L
ABalpapppap,death
ABalpappppa,mc1V
ABalpappppp,m3VL
ABalppaaaa,death
ABalppaaapa,AVAL
ABalppaaapp,OLQsoVL
ABalppaapa,death
ABalppaappa,death
ABalppaappp,CEPsoVL
ABalppapaaa,RMDVL
ABalppapaap,ILshVL
ABalppapapa,SAADL
ABalppapapp,ILsoVL
ABalppappaa,SMDVL
ABalppappap,BAGL
ABalppapppaa,IL1VL
ABalppapppap,death
ABalppapppp,IL2VL
ABalpppaaaa,AVEL
ABalpppaaap,OLQshVL
ABalpppaapd,OLLshL
ABalpppaapv,death
ABalpppapad,RMDL
ABalpppapav,AFDL
ABalpppappa,death
ABalpppapppa,ASKL
ABalpppapppp,death
ABalppppaad,ADLL
ABalppppaav,death
ABalppppapaa,OLLL
ABalppppapap,death
ABalppppapp,death
ABalpppppaa,ADFL
ABalpppppap,AWBL
ABalppppppaa,ASEL
ABalppppppap,death
ABalpppppppa,ASJL
ABalpppppppp,AUAL
ABaraaaaaaa,e1VL
ABaraaaaaap,m1L
ABaraaaaapa,e1VR
ABaraaaaapp,m1R
ABaraaaapaa,death
ABaraaaapap,e1D
ABaraaaapp,death
ABaraaapaaa,arcpost
ABaraaapaap,e2DR
ABaraaapapa,mc1DR
ABaraaapapp,m4R
ABaraaappaa,arcpost
ABaraaappap,arcpost
ABaraaapppa,arc_ant
ABaraaapppp,hyp1
ABaraapaaaa,e3D
ABaraapaaap,m1DL
ABaraapaapa,m2DL
ABaraapaapp,mc2DL
ABaraapapaad,death
ABaraapapaav,NSML
ABaraapapap,m5L
ABaraapappa,M2L
ABaraapappp,M3L
ABaraappaaa,MI
ABaraappaap,m1DR
ABaraappapa,m2DR
ABaraappapp,mc2DR
ABaraapppaad,death
ABaraapppaav,NSMR
ABaraapppap,m5R
ABaraappppa,M2R
ABaraappppp,M3R
ABarapaaaaa,e3VR
ABarapaaaap,m2VR
ABarapaaapa,m1VR
ABarapaaapp,death
ABarapaapaa,m2R
ABarapaapap,death
ABarapaappa,m3R
ABarapaappp,MCR
ABarapapaaa,death
ABarapapaapa,I2R
ABarapapaapp,death
ABarapapapa,arcpost
ABarapapapp,I5
ABarapappaa,I1R
ABarapappap,death
ABarapapppa,mc2V
ABarapapppp,m3VR
ABarappaaaa,RIPR
ABarappaaap,death
ABarappaapa,hyp1
ABarappaapp,death
ABarappapaa,RMDDR
ABarappapapa,death
ABarappapapp,SMBDR
ABarappappa,DB2
ABarappappp,SMBVR
ABarapppaaa,RMDVR
ABarapppaap,ILshVR
ABarapppapa,SAADR
ABarapppapp,ILsoVR
ABarappppaa,SMDVR
ABarappppap,BAGR
ABarapppppaa,IL1VR
ABarapppppap,death
ABarapppppp,IL2VR
ABarpaaaaal,OLQsoDL
ABarpaaaaar,OLQsoDR
ABarpaaaapa,OLQshDL
ABarpaaaapp,CEPshDL
ABarpaaapaa,OLQshVR
ABarpaaapap,CEPshDR
ABarpaaapp,death
ABarpaapaa,hyp6
ABarpaapap,hyp7
ABarpaappa,hyp7
ABarpaappp,hyp7
ABarpapaaaa,URADR
ABarpapaaap,CEMDR
ABarpapaapa,death
ABarpapaappa,CEPDR
ABarpapaappp,URXR
ABarpapapa,hyp4
ABarpapapp,hyp6
ABarpappaa,XXXR
ABarpappap,hyp5
ABarpapppa,HOR
ABarpapppp,H1R
ABarppaaaa,ADEshL
ABarppaaap,H2L
ABarppaapa,hyp7
ABarppaappa,ALML
ABarppaappp,BDUL
ABarppapaa,V1L
ABarppapap,V2L
ABarppappa,V4L
ABarppappp,V6L
ABarpppaaa,ADEshR
ABarpppaap,H2R
ABarpppapa,hyp7
ABarpppappa,ALMR
ABarpppappp,BDUR
ABarppppaa,V1R
ABarppppap,V2R
ABarpppppa,V4R
ABarpppppp,V6R
ABplaaaaaaa,URADL
ABplaaaaaap,CEMDL
ABplaaaaapa,death
ABplaaaaappa,CEPDL
ABplaaaaappp,URXL
ABplaaaapa,hyp6
ABplaaaapp,hyp6
ABplaaapaa,XXXL
ABplaaapap,hyp5
ABplaaappa,HOL
ABplaaappp,H1L
ABplaapaaaa,hyp3
ABplaapaaap,ILsoDL
ABplaapaapa,URBL
ABplaapaapp,AMshL
ABplaapapaa,AWAL
ABplaapapap,ASGL
ABplaapappa,AIBL
ABplaapapppa,ASIL
ABplaapapppp,death
ABplaappaa,hyp4
ABplaappap,hyp6
ABplaapppa,hyp7
ABplaapppp,hyp7
ABplapaaaaa,death
ABplapaaaapa,ADEL
ABplapaaaapp,ADAL
ABplapaaapad,FLPL
ABplapaaapav,AIZL
ABplapaaapp,RMGL
ABplapaapa,G2
ABplapaapp,P1/2L
ABplapapaaa,QL
ABplapapaap,V5L
ABplapapap,P9/10L
ABplapappa,P11
ABplapapppa,death
ABplapappppaa,PLML
ABplapappppap,ALNL
ABplapappppp,death
ABplappaaa,P3/4L
ABplappaap,P5/6L
ABplappapa,V3L
ABplappapp,P7/8L
ABplapppaaa,PVQL
ABplapppaap,death
ABplapppapa,death
ABplapppappa,HSNL
ABplapppappp,PHBL
ABplappppa,hyp7
ABplappppp,TL
ABplpaaaaaa,SAAVL
ABplpaaaaap,AWCL
ABplpaaaapa,exc_duct
ABplpaaaapp,DB1/3
ABplpaaapaa,URAVL
ABplpaaapap,CEPshVL
ABplpaaappaa,OLQVL
ABplpaaappap,death
ABplpaaappp,URYVL
ABplpaapaaa,RIVL
